question,answer
"I have a 07 -seat car installed with specialized equipment (with a license) on the roof of the car with a height of about 2.7 meters to 3 meters.I want to ask, with such a height when traveling on the road, is there any violations of traffic safety?If there is a violation, what is the sanction according to, what is the fine?","- In Clause 2, Article 9 of Circular No. 46/2015/TT-BGTVT dated September 7, 2015 of the Ministry of Transport, stipulating the load and limit of the road;Circulating overloaded vehicles, oversized cars limited, crawler on the road;super -sized and super -weight shipping;The limit of loading goods on road vehicles when participating in roads on roads stipulates the limit of vehicles participating in traffic as follows:

+ The length is not more than 20 meters or no more than 1.1 times the entire length of the vehicle;

+ Width not more than 2.5 meters;

+ The height of the road surface or more is no more than 4.2 meters (except for container trucks).

Specialized motorbikes with sizes exceeding the maximum size allowed above when participating in road traffic is considered a limited oversized car.

- In case of circulation of vehicles exceeding the limit of the road, the owner of the vehicle, the transporter, the bus tenant or the driver of the vehicle must request the competent authority to issue a vehicle circulation permit before bringing the vehicle to participate in road traffic (Clause 3, Article 8, Clause 2, Article 11 of Circular No. 46/2015/TT-BGTVT).

- In case your vehicle is a special -use vehicle and a cargo, the height of the cargo is calculated from the highest point of the road surface of the car to no more than 4.35 meters.(Clause 3, Article 18 of Circular No. 46/2015/TT-BGTVT).

- At Point c, Clause 3 and Point a, Clause 7, Article 33 of the Government's Decree No. 46/2016/ND-CP of May 26, 2016, stipulating sanctions on administrative violations in the field of road and rail transport, stipulating the driver of the vehicle exceeding the limit of bridges, roads or cargo transportation exceeding the limit of bridges, roads participating in traffic, except for cases where the circulation permit is still valid from VND 3,000,000;Being deprived of the right to use the driving license from 01 month to 03 months.

Thus, Nguyen Thanh Huong can base on the above provisions to comply to ensure safe circulation for people and vehicles."
Proposing the Ministry of Public Security to amend the district traffic police to patrol and control traffic on national highways to reduce overload for the Road and Railway Police Department of the Police Department of the province and city.,"In this regard, the Ministry of Public Security would like to answer, as follows:

On October 30, 2012, the Ministry of Public Security issued Circular No. 65/2012/TT-BCA stipulating the tasks, powers, forms, content of patrol and control of road traffic police;Accordingly, Clause 2, Article 6 stipulates the assignment of responsibilities and coordination relationships in the patrol and control of road traffic for district police: on the National Highway section passing the city, town and town in the district, if detecting violations of static traffic and violations such as: driving by hammock;gathering to disturb public order;illegal racing;Going in the opposite direction, not obeying the command of the traffic signal light;driving motorbikes and motorbikes carrying more than the prescribed number of people;Controlling, sitting on motorcycles and motorbikes participating in traffic without wearing helmets, they can handle violations in accordance with the law.

However, through the summary of 3 years of implementing Circular No. 65/2012/TT-BCA, it is necessary to decentralize the forces of the Traffic Police Department in charge of organizing patrol and control activities on national highways, not decentralizing for many forces because it will cause overlap and division to the highway routes;Moreover, the fact that many traffic police teams also operate on a national highway will cause frustration and offensive to road users.
On that basis, the Ministry of Public Security issued Circular No. 01/2016/TT-BCA (replacing Circular No. 65/2012/TT-BCA) dated January 4, 2016 stipulating tasks, powers, forms, content of patrol, road traffic control of the traffic police, regulations:

- At paragraph 2, Point b, Clause 2, Article 17 of the provisions: Based on the actual situation, the task of ensuring traffic order and safety on the National Highway section goes through the administrative boundaries of districts, towns, cities of provinces and towns of districts, traffic police departments to advise the director of the provincial police to arrange forces of the Traffic Police Department to preside over, coordinate with the traffic police and control the traffic police, control the traffic police, control the traffic police, control the traffic police and control the traffic police, control the traffic police and control the traffic police, control the traffic police and control the traffic police, control the traffic police, control the traffic police and control the traffic policelaw.

- In Clause 3, Article 17 of the provisions: The district police shall coordinate with the Traffic Police Department of patrolling, controlling and handling administrative violations on traffic order and safety on the national highway section through administrative boundaries of districts, towns and cities of the province or town under the district as planned by the Director of the provincial police.

Do vậy, theo quy định của Thông tư số 01/2016/TT-BCA, nếu Phòng Cảnh sát giao thông không đủ lực lượng thực hiện việc tuần tra, kiểm soát bảo đảm trật tự, an toàn giao thông thì phải báo cáo Giám đốc Công an cấp tỉnh để có kế hoạch phối hợp với Cảnh sát giao thông Công an cấp huyện tuần tra, kiểm soát và xử lý vi phạm hành chính về trật tự, an toàn giao thông trên đoạn quốc lộ đi qua địa giới hành chính quận, thị xã, thành phố thuộc tỉnh, thị trấn thuộc huyện."
"The Ministry of Public Security let me ask, the papers such as identity card, citizen identity card, driver's license, car papers have notarized photocopies are valid when the traffic police check, if any, which documents are prescribed?","In Clause 2, Article 58 of the Road Traffic Law stipulates: “The driver when operating the vehicle must carry the following documents:

a) Register the vehicle;

b) Driving license for motor vehicle operators specified in Article 59 of this Law;

c) Certificate of technical safety inspection and environmental protection for motor vehicles specified in Article 55 of this Law;

d) Certificate of civil liability insurance of motor vehicle owners ”.

In the Government's Decree No. 46/2016/ND-CP of May 26, 2016, sanctioning administrative violations in the field of road and railway transportation, which provides for sanctions for non-existing acts, does not carry 04 types of papers.

Thus, the certified copy has no value to replace the original when controlling vehicles participating in road traffic and sanctioning administrative violations in the field of road traffic."
"I would like to ask, I ride the 150cc Exciter brand, I changed the back of the car with lower fenders and attached the number plate near the taillights.So do I make a mistake to change the car structure?If the mistake is sanctioned?","In Clause 2, Article 55 of the Road Traffic Law stipulates: ""The vehicle owner must not arbitrarily change the structure, sum, the system of the vehicle is not in accordance with the design of the manufacturer or the renovation design has been approved by the competent authority"".

At Point c, Clause 4, Article 30 of Decree No. 46/2016/ND-CP dated May 26, 2016, the Government stipulates that sanctioning administrative violations in the field of road and railway traffic stipulates: The owner of a motorbike, a motorbike and vehicles similar to motorcycles commits acts of voluntarily changing the frame, machine, shape, size, characteristics of the vehicle shall be fined from VND 800,000 to VND 1,000,000 to VND 1,000,000 to VND 2,000,000 to VND 2,000,000."
"I lost a motorbike driver's license and was in the procedures for re -granting.Recently, I drove a motorbike and passed the red light so the traffic police asked to stop the car to check.I was punished with 2 errors that passed the red light and had no driving license.So the Ministry of Public Security asked me to ask the traffic police to punish me at fault without a driver's license in this case, right?","In Clause 2, Article 58 of the Road Traffic Law stipulates: The driver when operating the vehicle must carry a driver's license (GPLX) for motor vehicle drivers as prescribed in Article 59 of this Law.In Clause 18, Article 3 of the Road Traffic Law stipulates: Road motor vehicles (motor vehicles) include cars;tractor;trailers or trailers are pulled by cars, tractors;Two -wheel motorcycles;tricycle motorbike;Motorbikes (including electric motorbikes) and similar vehicles.

Therefore, the GPLX is one of the compulsory papers that motorcyclists must carry when participating in traffic.The original application for a license to issue a license or re -issuance of the license (in case of applying for re -issuance of the license) does not replace the lost license.

At Point a, Clause 5, Article 21, Point b, Clause 7, Article 21 and Point i, Clause 1, Article 78 of the Government's Decree No. 46/2016/ND-CP of May 26, 2016, on sanctioning administrative violations in the field of road and railway transport, stipulates: Movers of motorcycles with cylinder capacity of less than 175 cm 3 without a fines of VND 800,000 to VND 1,200,000 and temporary detention of vehicles up to 07 days before issuing a decision on decision.Motor operators with a cylinder capacity of 175 cm3 or more without a license shall be fined from VND 4,000,000 to VND 6,000,000 and a vehicle holder up to 07 days before issuing a sanctioning decision./."
"While participating in traffic, I stopped the car when the traffic light signal was green light, when the traffic police were punished.The Ministry of Public Security let me ask, are there any regulations on stopping the vehicle when the traffic lights have a green signal?","In Clause 1, Article 9 of the Road Traffic Law stipulates: ""In traffic must go to the right in their direction, go in the right lane, the prescribed road part and must comply with the road signaling system"".

In Clauses 1, Clause 3, Article 10 of the Road Traffic Law stipulates that the traffic light signal of the road signal system.The traffic light signal has three colors, as follows:

a) Green signal is gone;
b) Red signal is prohibited;

c) The gold signal is to stop before the stop line, except for the case that has been over the stop line, it is allowed to continue;In the case of blinking gold signal, it must slow down, pay attention to observe, give way to pedestrians across the street.

The act of not obeying the order of traffic lights is stipulated in the Government's Decree 46/2016/ND-CP dated May 26, 2016, stipulating the sanctioning of administrative violations in the field of road and rail transport, specifically:

- For car drivers and vehicles similar to cars fined from VND 1,200,000 to VND 2,000,000, depriving the right to use the driving license from 01 month to 03 months (Point a, Clause 5, Article 5);

- For drivers of motorbikes, motorbikes, vehicles similar to motorcycles and similar vehicles with a fine of from VND 300,000 to VND 400,000, depriving the right to use the driver's license from 01 month to 03 months (Point c, Clause 4, Article 6);

- For operators of tractors and special -use motorbikes shall be fined from VND 400,000 to VND 600,000, deprivation of the right to use the driver's license (when controlling the tractor), the certificate of fostering legal knowledge on road traffic (when driving a special -use motorbike) from 01 month to 03 months (Point g, Clause 4, Article 7)."
"The Ministry of Public Security let me ask, I want to apply for a container truck to enter the road in Hanoi city to return customers in Tay Ho area?If possible, what procedures do I need to do and where to get a license?","Pursuant to Point b, Clause 2, Article 37 of the 2008 Road Traffic Law stipulates the responsibility of organizing traffic, as follows: ""Chairman of the provincial People's Committee is responsible for organizing traffic on the road systems under its management"".Therefore, the regulations on the operation of road vehicles in the provincial or city levels managed by the President of the People's Committee of the province or city based on the actual situation of the locality to decide.

For Hanoi City, on January 25, 2013, the City People's Committee issued Decision No. 06/2013/QD-UBND regulating the operation of the vehicles in Hanoi city (hereinafter referred to as Decision No. 06), accordingly, based on Article 4;Clause 2, Article 5 and Point c, Clause 1, Article 8 of the provisions issued together with Decision No. 06, readers of readers Nguyen Minh Anh are in the case of limited entry into the inner area of ​​Hanoi.

Thus, in case readers of readers Nguyen Minh Anh wants to go into the area of ​​Tay Ho district to return the goods, the Department of Transport must be granted a circulation permit.Relevant procedures for granting circulation licenses ask readers Nguyen Minh Anh to contact the Hanoi Department of Transport for detailed instructions./."
"As far as I know, there is a case of passing a punishment and a case of a yellow light that is not punished.So I am looking forward to being instructed by the Ministry of Public Security in detail in case of participants in traffic to pass the yellow lights and how much is the sanctioning level?","At Point c, Clause 3, Article 10 of the Road Traffic Law stipulates: “The golden signal is to stop before the stop line, except for the case of going over the stop line, it is allowed to continue;In the case of blinking gold signal, it is possible to slow down, pay attention to observe, give way to pedestrians across the street ”.

In Article 10 of the Regulation No. 41: 2016/BGTVT - National technical regulation on road signs issued by the Ministry of Transport, the gold signal is signaling the change of signal of the light from blue to red.The gold signal lights on, the driver of the vehicle must stop the car in front of the paint line ""stop the car"".If there is no paint line ""stop the car"", then stop the signal light in the direction of the signal;If the violator deliberately drove the vehicle through the paint line ""stopping the car"", it would be sanctioned for the act of not obeying the order of the traffic signal light.In case the vehicle has approached or exceeded the ""stop line"" when the gold signal turned on, if stopped, it would be dangerous, it must quickly go out of the intersection;At that time, the driver of the vehicle will not be sanctioned for the act of not obeying the command of the traffic light.

The act of not obeying the command of the traffic signal lamp is sanctioned as follows:

- Drivers of violating motorcycles and motorbikes are fined from VND 300,000 to VND 400,000;deprived of the right to use the driving license from 01 month to 03 months (Point c, Clause 4, Article 6 and Point b, Clause 12, Article 6 of Decree No. 46/2016/ND-CP of May 26, 2016 of the Government stipulating sanctioning administrative violations in the field of road and rail transport).

- Drivers of violating cars shall be fined from VND 1,200,000 to VND 2,000,000;deprived of the right to use the driver's license from 01 month to 03 months (Point a, Clause 5, Article 5 and Point b, Clause 12, Article 5 of Decree No. 46/2016/ND-CP).

- Drivers of tractors and special -use motorbikes violated a fine of between VND 400,000 and VND 600,000;deprived of the right to use the driver's license (when controlling the tractor), the certificate of fostering legal knowledge on road traffic (when driving a special-use motorbike) from 01 month to 03 months (Point g, Clause 4, Article 7 and Point a, Clause 9, Article 7 of Decree No. 46/2016/ND-CP).

- Machinery drivers, rudimentary bicycles, violating vehicles are fined from VND 60,000 to VND 80,000 (Point h, Clause 2, Article 8 of Decree No. 46/2016/ND-CP).

- pedestrians;The driver, leading animal and controlling animal vehicles is fined from VND 50,000 to VND 60,000 (Point b, Clause 1, Article 9 and Point b, Clause 1, Article 10 of Decree No. 46/2016/ND-CP)."
"The Ministry of Public Security asked me: When the driver of the vehicle was stopped by the traffic police, asked to check the alcohol content but did not comply, how was it handled?","Drivers of motorbikes and motorbikes do not comply with the request for checking the alcohol content of a fine of between VND 3,000,000 and VND 4,000,000;deprived of the right to use the driving license from 03 months to 05 months (Point b, Clause 8, Article 6 and Point d, Clause 12, Article 6 of Decree No. 46/2016/ND-CP of May 26, 2016 of the Government stipulating sanctioning administrative violations in the field of road and rail transport).At the same time, the vehicle seized up to 7 days before issuing a sanctioning decision (Point b, Clause 1, Article 78 of Decree No. 46/2016/ND-CP).

The driver of the car does not comply with the request to check the alcohol content of a fine of between VND 16,000,000 and VND 18,000,000;deprived of the right to use the driving license from 04 months to 06 months (Point b, Clause 9, Article 5 and Point d, Clause 12, Article 5 of Decree No. 46/2016/ND-CP).At the same time, the vehicle seized up to 7 days before issuing a sanctioning decision (Point a, Clause 1, Article 78 of Decree No. 46/2016/ND-CP).

The operator of the tractor and special -use motorbike does not comply with the request for checking the concentration of the alcohol content fined from VND 5,000,000 to VND 7,000,000;deprived of the right to use the driving license (when controlling the tractor), the certificate of fostering legal knowledge on road traffic (when driving a special-use motorbike) from 02 months to 04 months (Point b, Clause 7, Article 7 and Point b, Clause 9, Article 7 of Decree No. 46/2016/ND-CP).At the same time, the vehicle seized up to 7 days before issuing a sanctioning decision (Point c, Clause 1, Article 78 of Decree No. 46/2016/ND-CP)."
"At present, the situation of motorcyclists and drivers in traffic using mobile phones is very common, potentially many risks of traffic accidents.The Ministry of Public Security let me ask if these cases are sanctioned?If so, what are the specific sanctions?","- At Point o Clause 3, Article 6 of the Government's Decree No. 46/2016/ND-CP of May 26, 2016, sanctioning administrative violations in the field of road and railway transport, stipulating people who are operating motorcycles and motorbikes (including electric motorbikes) using mobile phones fined from VND 100,000 to VND 200,000.In case of acts of causing traffic accidents, they are deprived of the right to use the driver's license from 02 months to 04 months (Point c, Clause 12, Article 6 of Decree No. 46/2016/ND-NP).

- At Point l, Clause 3, Article 5 of Decree No. 46/2016/ND-CP stipulates that the driver of the car performs the act of using a mobile phone when using a vehicle running on the road shall be fined from VND 600,000 to VND 800,000.In the case of causing traffic accidents, they are deprived of the right to use the driver's license from 02 months to 04 months (Point c, Clause 12, Article 15 of Decree No. 46/2016/ND-CP)."
"Currently on many Hanoi roads, there are roads reserved for fast buses but there are many vehicles such as motorbikes and cars intentionally encroaching on the bus road.So how are these cases fined?","Drivers of motorcycles, motorbikes and cars intentionally encroaching on the lane for fast buses will be sanctioned for the wrong way to go in the right road and lane.The penalty is specified in the Government's Decree No. 46/2016/ND-CP dated May 26, 2016, stipulating the sanctioning of administrative violations in the field of road and rail transport as follows:

- Persons in motorbikes and motorbikes (including electric motorbikes) violated a fine of between VND 300,000 and VND 400,000.In the case of causing traffic accidents, they are deprived of the right to use the driver's license from 02 months to 04 months (Point g of Clause 4, Article 6 and Point c, Clause 12, Article 16).

- Drivers of violating cars shall be fined from VND 800,000 to VND 1,200,000 and deprived of the right to use the driver's license from 01 month to 03 months (Point c, Clause 4, Article 5 and Point b, Clause 12, Article 5)."
"“Voters do not agree with the frequent traffic police standing in the hidden position to shoot the speed of vehicles participating in traffic, thinking that the performance of official duties must be public and transparent.","Regarding these issues, the Ministry of Public Security would like to answer, as follows:

Regarding recommendations related to measuring the speed of vehicles participating in the traffic police forces, speeding is one of the direct causes of traffic accidents.The traffic police force measuring the speed of vehicles participating in traffic, promptly detecting and handling speeders of speed to limit traffic accidents is essential.However, many drivers seeks to deal with public speed, such as: running at high speed, when detecting stations and pegs of the traffic police will slow down or avoid;The driver is sanctioned in notifying the driver who is in other traffic to avoid, making it difficult to perform the tasks of the traffic police force ... Therefore, the combination of public and secret speed is stemming from the requirements of the actual situation.

Pursuant to the Law on People's Public Security in 2014, the Road Traffic Law in 2008 and the Government's Decree No. 106/2014/ND-CP, dated November 17, 2014 of the Government defining the functions, tasks, powers and organizational structure of the Ministry of Public Security, dated January 4, 2016, the Ministry of Public Security issued Circular No. 01/2016/TT-BCA stipulating tasks, powers, forms, content of traffic patrol and traffic control;Accordingly, in Clause 1, Article 9 stipulates: ""Make up using professional technical equipment and equipment, in order to improve the effectiveness of the work of ensuring traffic order and safety"".Therefore, the traffic police force combining public measures with secrets (makeup) to measure the speed is necessary, stemming from work practices and in accordance with the law./."
"The Ministry of Public Security asked me: When police officers perform patrol and control tasks for administrative inspection, the person who is stopped has the right to ask the police officers to see the document sent to go on duty?If the police comrades refuse to produce, the person who is stopped has the right to not produce papers?Because in reality, there are many cases of taking advantage of administrative inspection, pretending to the police officers on duty to do things that contrary to the law, affecting the reputation and image of the People's Police soldiers./.","According to the provisions of the law, while on duty to patrol, control traffic, officials and soldiers of the traffic police are stopped by vehicles participating in traffic to control vehicles, papers of vehicles, control people and papers of vehicles, and handle violations of the law.At that time, the Traffic Police officers and soldiers were the legal representative to perform the tasks, the road participants were subject to the inspection of the traffic police absolutely, also complying with the law.

People have the right to monitor and supervise activities to ensure the traffic order and safety of the traffic police force but do not have the right to ""see the document sent to go on duty or not"", because the work plan of the traffic police force is a type of professional document of the police industry, only responsible people and competent authorities are inspected.If the road participants suspected the police officer, they must notify the police at all levels to handle, including the phone number 069.2342608 (hotline) of the Traffic Police Department./."
"I want to ask the time as prescribed to resolve a traffic accident (in case of not prosecuting the case, how many days has the two parties have agreed to resolve civil resolution) and are specific documents in which document?","As a rule: “Within ten days from the date of receiving the news about the traffic accident, the traffic police agency must conduct a consideration, investigation and settlement of a traffic accident;For a traffic accident with many complicated circumstances that need to be investigated and verified, the deadline may be extended but not more than thirty days.In case of approval of professional assessment or it is necessary to have more time to verify and collect evidence, the competent person must report to his direct head in writing to apply for an extension;The extension must be written in writing, the extension period should not exceed thirty days ”.

This has been prescribed in the Circulars of the Ministry of Public Security: Circular No. 77/2012/TT-BCA dated December 28, 2012 stipulating the process of investigating and settling road traffic accidents of road traffic police, Circular No. 06/2013/TT-BCA dated January 29, 2013 stipulating the process of surveying and settling railway traffic accidents of road traffic police, rail and Circular No. 73/TT-BCA on December 5, 2012Inland waterway traffic accident of waterway traffic police."
"When I drove a motorbike on Highway 32 in Kim Chung commune, Hoai Duc district, Ho Chi Minh City.Hanoi, on the road, there is a hard median between 2 directions, each side has 3 lanes, the right lane in the right is lined up, the next 2 lanes on the left are broken between the two lanes.I went to the right lane on the right, when the traffic police comrades were sanctioned for going in the wrong lane.

Another time I circulate in the area of ​​Thanh Do University, Kim Chung commune, Hoai Duc district, Ho Chi Minh City.Hanoi I went to the middle lane was also sanctioned for the wrong lane.So the Ministry of Public Security asked, when driving a motorbike participating in traffic, which lane movement is right?What is the law on specific lane?","Clause 6, Article 3 of the Road Traffic Law defines: ""The road of the road is the part of the road used for vehicles"";Clause 7, Article 3 of the Road Traffic Law defines: ""The lane is part of the road running in the vertical road of the road, with a width enough for the vehicle to run safely"".Clause 1, Article 9 of the Road Traffic Law stipulates: ""The road participants must go to the right in their direction, go in the right lane, the prescribed road part and must comply with the road signaling system"".Clause 1, Article 11 of the Road Traffic Law stipulates: ""Traffic participants must obey the order and instructions of the road signaling system"".

Regarding the use of lanes, Clause 1, Article 13 of the Road Traffic Law stipulates: “On the road, there are many lanes for the car to go in the same direction to be distinguished by lane lane lane lines, the driver must allow the vehicle to travel in a lane and can only transfer lanes in places allowed;When changing lanes, there must be a notice signal and must be safe. ”

In the Regulation No. 41: 2016/BGTVT issued together with the Circular No. 06/2016/TT-BGTVT dated April 8, 2016 of the Ministry of Transport on the national technical regulation on road signs specified for road sections with lane signs reserved for each vehicle located on the lane, at the beginning of the road in the direction of the car, other vehicles are not allowed to go to this lane (except for the vehicles prescribed).

According to the provisions of Point g, Clause 4, Article 6 of the Government's Decree No. 46/2016/ND-CP of May 26, 2016, stipulating sanctions on administrative violations in the field of road and railway traffic, drivers of motorbikes and motorbikes shall be fined from VND 300,000 to VND 400,000 for acts of improperly going on the right road and lanes."
"When participating in traffic on National Highway 1A, the trucks go into the car lane and go slowly, when the car please pass, the truck does not let over, if you follow the law, you must go very slowly, if you want to go quickly, you must cross the right.

I would like to ask, how to handle this case?Is the truck fined?Can cars be fined?Which agency sanctions?","1. The content of the question that citizens must be placed in specific cases depending on the characteristics of the traffic organization of the road section on the National Highway 1A, the incident occurs, including:

- The first case: At the road section, there are many lanes for the car in the same direction to be distinguished by lane stripes and above the lane, there is a signboard No. 412B (car lane for cars), No. 412C (lane for trucks)

+ Trucks violate the behavior: ""Going not in the right lane"", prescribed at Point c, Clause 4, Article 5 of Decree No. 171/2013/ND-CP.In case of being eligible for safety as prescribed in Article 14 of the 2008 Road Traffic Law, the truck does not give way to cars with a signal to apply, the truck violates the behavior: ""Do not give way to the car to overcome when there is enough safety conditions"", prescribed at Point d, Clause 2, Article 5 of Decree No. 171/2013/ND-CP.

+ Car: If you go to the lane reserved for trucks, it will also violate the act of ""going not in the right lane"".The car's car to the right lane and running faster than the truck in this case does not violate the act of crossing the right of other vehicles in cases where it is not allowed;Because, at Point c, Clause 5, Article 5 of Decree 171/2013/ND-CP stipulates that they do not handle the act of ""crossing the right of other vehicles at the road section with many lanes for the car in the same direction to be distinguished by lane lane lines that the car runs on the right lane that runs faster than the car running on the left lane"".

- The second case: At the road section, there are many lanes for the car in the same direction to be distinguished by lane stripes and above the lane does not place the signboard No. 412B (car lane for cars), No. 412C (lane for trucks)

+ Trucks: In case of being eligible for safety as prescribed in Article 14 of the 2008 Road Traffic Law but the truck does not give way to cars with a signal to apply, the truck violates the behavior: ""Do not give way to the car to ask for a safe condition"", prescribed at Point d, Clause 2, Article 5 of Decree No. 171/2013/ND-CP.

+ Cars: Do not violate.

- The third case: At the road, the road is not divided into multiple lanes by lane lane lines for vehicles to go in the same direction

+ Trucks: In case of being eligible for safety as prescribed in Article 14 of the 2008 Road Traffic Law but the truck does not give way to cars with a signal to apply, the truck violates the behavior: ""Do not give way to the car to ask for a safe condition"", prescribed at Point d, Clause 2, Article 5 of Decree No. 171/2013/ND-CP.

+ Sub-cars: Except for cases of permission to cross the right as prescribed in Clause 4, Article 14 of the Law on Road Traffic in 2008, if the car passes the truck to the right of the truck, it will violate the behavior: ""Behave other vehicles in case of not allowed"" prescribed at Point c, Clause 5, Article 5 of Decree 171/2013/ND-CP.

2. Sanctioning authorities: Pursuant to the 2008 Road Traffic Law, the Law on Handling of Administrative Violations in 2012 and Decree No. 171/2013/ND-CP, the road traffic police competent to sanction the above-mentioned violations."
Proposing the Government to increase the payroll for the traffic police force to strengthen the inspection and ensure traffic safety.,"In order to continue improving the effectiveness of traffic order and safety, the Ministry of Public Security has reported and approved by the Government ""Strengthening payroll, equipment and training for road traffic police"";Project ""Strengthening and modernizing patrol, control and handling of violations of road traffic order and safety"";Project ""Strengthening payroll, facilities, techniques, training and policies for the waterway police force at the Ministry of Public Security and 18 provinces and cities of Northern and Central Vietnam"".In the field of railway, authorized by the Prime Minister, the Minister of Public Security issued Decision No. 6577/QD-BCA, on November 28, 2013, approving the Project ""Strengthening the capacity to ensure railway traffic order and safety for the railway traffic police force"".

In order to implement the projects that have been approved by the Government and the Ministry of Public Security and ensure that the force meets the working requirements, the Ministry of Public Security has developed the project ""Ensuring human resources to meet the requirements and tasks of the Rail -Railway Traffic Police force to 2020"", which analyzed and assessed the existing payroll of the traffic police force, the demand forecasting and determining the level of traffic police, besides the Traffic Police force.focused on directing the training and retraining to improve the quality of the contingent of traffic police officers and soldiers;Assigning enrollment targets, training officers and soldiers of traffic police to institutes, universities and colleges of People's Police and High School of Traffic Police;At the same time, organizing professional training and fostering courses for traffic police officers and soldiers."
Can pickup trucks go into the car lane for cars?,"Clause 4.23 and Clause 4.25 Article 4 of the National Technical Regulation on Road signs issued together with Circular No. 17/2012/TT-BGTVT dated May 29, 2012 of the Ministry of Transport stipulated:

“4.23.Cars are only cars carrying people no more than 9 seats including driving, or cargo cars with no more than 1.5 tons.Cars include structures such as three -wheeled motorcycles but the weight of themselves is larger than 400 kg or more and the tonnage does not exceed 1.5 tons;

4.24.Trucks are cargo cars or specialized equipment with a tonnage of 1.5 tons or more; ”

Thus, pickup trucks that meet the criteria as prescribed in Clause 4.23 go into the car lane for cars."
"In the two -way roads with a hard median strip dividing the road surface into two separate cars, every afternoon there is a white line that is broken into 2 lanes in the same direction (or multiple lanes in the same direction).In the area without lane signs, no signs in each lane, such as Bich Bich Street, Tan Phu District - TP.HCM;Phan Van Hon Street, District 12, TP.HCM;National Highway 1A passing through Thong Nhat district, Dong Nai ...

So, I would like to ask, according to the current regulations, which lanes and motorcycles are circulated in lanes?(Inner lane or external lane or both lanes)?When the car in the left left lane moves slowly, will the inner lane truck move faster, will it be sanctioned for overseas violations according to Decree 171/2013/ND-CP?To drive properly, when the car in the lane moves very slowly, how to drive over?","I. Which lane is I. cars and motorcycles circulating?
- Article 13 of the Road Traffic Law stipulates:
""Article 13. Use lane
1. On the road, there are many lanes for the car in the same direction to be distinguished by lane lane lane, the driver must allow the vehicle to travel in a lane and only transfer lanes in the permitted places;When changing lanes, there must be a notice signal and must be safe.
2. On a one -way road with lane lane lines, rudimentary vehicles must go on the right right lane, motor vehicles, special -use motorbikes on the left lane.
3. Means of road traffic moving at a lower speed must go to the right. "".
- So:
For lanes with many lanes distinguished by lane lane lane line, the driver must allow the vehicle to travel in a lane and can only transfer lanes in places allowed.
For one -way roads with lane, cars, motorbikes must move in the left lane, rudimentary vehicles must move in the right right lane.

II.When the car in the left left lane moves slowly, will the inner lane truck move faster, will it be sanctioned for overseas violations according to Decree 171/2013/ND-CP?
- Point c, Clause 5, Article 5 of Decree 171/2013/ND-CP dated November 13, 2013 of the Government: ""A fine of between VND 2,000,000 and VND 3,000,000 for the driver of the vehicle to perform one of the following acts:
c) Excess in cases of overtaking prohibitions;There is no signal before passing;Over the right of the other vehicle in case of not being allowed, except for the case where there are many lanes for the car to go in the same direction, it is distinguished by lane lane lane line that the car runs on the right lane that runs faster than the car running on the left lane; "".
- Thus, drivers of vehicles are not sanctioned for exceeding the provisions of Decree 171/2013/ND-CP.

III.To drive properly, when the car in the outside lane moves slowly, how to drive over?
Drivers must comply with the regulations on speed, distance and signs, road markings, and at the same time pay attention to overcome in accordance with regulations and ensure safety."
"After a period of sinking now, the situation of sea level exceeding the number is taking place.Voters asked the Ministry of Public Security to have specific solutions to direct the police of provinces and cities to inspect and drastically examine the issue of the license plate issue, especially the license plate of cars in order to detect and strictly handle units and individuals in contravention of regulations.","In order to facilitate people and strictly manage the registration and issuance of vehicles, on October 12, 2010, the Ministry of Public Security issued Circular No. 36/2010/TT-BCA regulating vehicle registration;On 11/03/2013, promulgating Circular No. 12/2013/TT-BCA amended and supplemented Clause 3, Article 20 of Circular No. 36/2010/TT-BCA;On April 4, 2014, issued Circular No. 15/2014/TT-BCA regulating vehicle registration ... Since 2012, the Ministry of Public Security has implemented the issuance and registration of car number plates on the computer system;The issuance of the license plate is done in the form of random dial (the system of databases registering the car is secret, through many layers of protective passwords, strictly managed) to ensure publicity, transparency and fairness for all people to register the car.

In order to serve the random dialing on the computer, the car registration units have put into the system of thousands of license plates for people to click the random number, who can click any license plate, they receive that number, not in a certain order;Therefore, there are cases where the larger number is pressed first, the smaller number is clicked later, not in the same order as before."
"Voters reflected that the family has a car owner who is the owner, other members of the family can use the vehicle and be handled under the law, suggest explanation.","At Points b, Clause 1 and Clause 4, Article 30 of the Government's Decree No. 171/2013/ND-CP, dated November 13, 2013 of the Government stipulating sanctioning administrative violations in the field of road and rail transportation, the regulations ""only sanction for individuals and organizations are owners of motorcycles, motorbikes and vehicles similar to motorcycles; car owners, tractors, motorbikes and vehicles that are similar to vehicles without vehicles.transfer the name of the car owner in the registration certificate of your name) as prescribed when buying, given, given, allocated, transferred, inherited the property is motorbike, motorbike and similar vehicles;

Thus, in the family there is a car named by the head of the car registration certificate, without buying, selling or giving, giving, transferring and inheriting this car for other members of the family, these members can still use that vehicle to participate in traffic without sanctions specified at Point b, Clause 1 and Clause 4, Article 30 of Decree No. 171/ND-CP."
